Triggered at	Count	Stocks (new stocks are highlighted)
Thu Jul 24 2025, 12:20 pm	3	AMBUJACEM, DALBHARAT, PAYTM
Thu Jul 24 2025, 12:15 pm	2	AMBUJACEM, PAYTM
Thu Jul 24 2025, 12:10 pm	1	PAYTM
Thu Jul 24 2025, 12:05 pm	1	PAYTM
Thu Jul 24 2025, 12:00 pm	2	DALBHARAT, PAYTM
Thu Jul 24 2025, 11:55 am	2	DALBHARAT, PAYTM
Thu Jul 24 2025, 11:50 am	1	DALBHARAT
Thu Jul 24 2025, 11:45 am	1	DALBHARAT
Thu Jul 24 2025, 11:40 am	1	DALBHARAT
Thu Jul 24 2025, 11:35 am	1	DALBHARAT
Thu Jul 24 2025, 11:25 am	2	PAYTM, TITAN
Thu Jul 24 2025, 11:20 am	2	PAYTM, TITAN
Thu Jul 24 2025, 11:15 am	2	PAYTM, TITAN
Thu Jul 24 2025, 11:10 am	2	PAYTM, TITAN
Thu Jul 24 2025, 11:05 am	3	PAYTM, TITAN, UNOMINDA
Thu Jul 24 2025, 11:00 am	4	FEDERALBNK, PAYTM, TITAN, UNOMINDA
Thu Jul 24 2025, 10:55 am	4	FEDERALBNK, PAYTM, TITAN, UNOMINDA
Thu Jul 24 2025, 10:50 am	4	FEDERALBNK, PAYTM, TITAN, UNOMINDA
Thu Jul 24 2025, 10:45 am	5	ASHOKLEY, FEDERALBNK, PAYTM, TITAN, UNOMINDA
Thu Jul 24 2025, 10:40 am	6	CUMMINSIND, FEDERALBNK, PAYTM, TITAN, TORNTPOWER, UNOMINDA
Thu Jul 24 2025, 10:35 am	7	AMBUJACEM, ASHOKLEY, FEDERALBNK, PAYTM, TITAN, TORNTPOWER, UNOMINDA
Thu Jul 24 2025, 10:30 am	6	AMBUJACEM, FEDERALBNK, PAYTM, TITAN, TORNTPOWER, UNOMINDA
Thu Jul 24 2025, 10:25 am	5	AMBUJACEM, FEDERALBNK, PAYTM, TITAN, TORNTPOWER
Thu Jul 24 2025, 10:20 am	4	FEDERALBNK, PAYTM, TITAN, TORNTPOWER
Thu Jul 24 2025, 10:15 am	3	FEDERALBNK, PAYTM, TORNTPOWER
Thu Jul 24 2025, 10:10 am	3	DALBHARAT, FEDERALBNK, PAYTM
Thu Jul 24 2025, 10:05 am	5	AMBUJACEM, DALBHARAT, FEDERALBNK, PAYTM, UNOMINDA
Thu Jul 24 2025, 10:00 am	6	AMBUJACEM, DALBHARAT, FEDERALBNK, PAYTM, TORNTPOWER, UNOMINDA
Thu Jul 24 2025, 9:55 am	7	AMBUJACEM, DALBHARAT, FEDERALBNK, IDFCFIRSTB, PAYTM, TORNTPOWER, UNOMINDA
Thu Jul 24 2025, 9:50 am	5	AMBUJACEM, DALBHARAT, DLF, FEDERALBNK, TORNTPOWER
Thu Jul 24 2025, 9:45 am	8	AMBUJACEM, ASHOKLEY, DALBHARAT, DLF, FEDERALBNK, IDFCFIRSTB, TORNTPOWER, UNOMINDA
Thu Jul 24 2025, 9:40 am	3	AMBUJACEM, DALBHARAT, FEDERALBNK
Thu Jul 24 2025, 9:35 am	2	AMBUJACEM, FEDERALBNK
Thu Jul 24 2025, 9:30 am	1	AMBUJACEM
